league,season,club,name,nation,pos,age,born,minute_90s,goals_against,pk_allowed,fk_goals_against,ck_goals_against,og_against,psxg,psxg_per_shot,psxg_net,psxg_net_per90,launched_passes_completed,launched_passes_att,launched_passes_completed_pct,passes_att_gk,throws_attempted,launch_pass_pct,avg_pass_len,goal_kicks_att, goal_kicks_launch_pct,goal_kicks_avg_len,crosses_faced,crosses_stopped,crosses_stopped_pct,def_act_outside_pen_area,def_act_outside_pen_area_per90,avg_distance_def_actions
GER-Bundesliga,1819,Hoffenheim,Oliver Baumann,GER,GK,28,1990,33.0,51,6,1,4,1,47.5,0.26,-2.5,-0.08,164,397,41.3,1036,191,28.8,29.3,248,39.9,39.4,441,14,3.2,58,1.76,18.0
GER-Bundesliga,1819,Leverkusen,Lukáš Hrádecký,FIN,GK,28,1989,32.0,47,3,2,9,2,38.2,0.27,-6.8,-0.21,199,438,45.4,1160,162,29.1,31.8,193,52.3,41.6,401,10,2.5,51,1.59,18.5
GER-Bundesliga,1819,Leverkusen,Ramazan Özcan,AUT,GK,34,1984,2.0,5,1,0,1,1,4.9,0.24,0.9,0.43,12,38,31.6,54,7,53.7,40.5,14,64.3,47.8,23,1,4.3,2,1.0,10.9
GER-Bundesliga,1819,Mainz 05,Florian Müller,GER,GK,20,1997,24.0,43,3,0,6,0,39.0,0.3,-4.0,-0.17,157,424,37.0,629,105,42.3,37.7,205,77.1,55.1,356,12,3.4,25,1.04,15.0
GER-Bundesliga,1819,Mainz 05,Robin Zentner,GER,GK,23,1994,10.0,14,0,1,2,0,12.8,0.26,-1.2,-0.12,46,172,26.7,252,55,40.1,36.1,88,80.7,60.4,166,10,6.0,12,1.2,14.5
GER-Bundesliga,1819,Nürnberg,Christian Mathenia,GER,GK,26,1992,21.5,40,2,1,6,2,31.5,0.25,-6.5,-0.3,170,473,35.9,665,92,47.7,39.0,218,71.6,53.5,462,9,1.9,10,0.47,9.6
GER-Bundesliga,1819,Nürnberg,Fabian Bredlow,GER,GK,23,1995,12.5,28,0,0,1,0,22.0,0.36,-6.0,-0.48,61,188,32.4,352,46,37.5,32.9,119,47.1,43.0,171,1,0.6,10,0.8,12.7
GER-Bundesliga,1819,RB Leipzig,Péter Gulácsi,HUN,GK,28,1990,32.5,27,4,1,4,1,37.9,0.3,11.9,0.37,236,588,40.1,797,124,50.6,39.6,223,83.0,56.2,379,16,4.2,57,1.75,19.5
GER-Bundesliga,1819,RB Leipzig,Yvon Mvogo,SUI,GK,24,1994,1.5,2,1,0,0,0,1.8,0.19,-0.2,-0.17,5,10,50.0,25,4,32.0,35.1,6,33.3,35.3,10,0,0.0,2,1.33,14.2
GER-Bundesliga,1819,Schalke 04,Alexander Nübel,GER,GK,21,1996,17.6,29,3,0,0,0,29.9,0.32,0.9,0.05,113,274,41.2,385,56,43.9,36.7,134,78.4,53.3,229,11,4.8,11,0.62,13.6
GER-Bundesliga,1819,Schalke 04,Ralf Fährmann,GER,GK,29,1988,16.3,26,2,1,4,1,22.8,0.27,-2.2,-0.14,103,233,44.2,394,71,40.6,36.4,120,60.8,45.8,198,10,5.1,21,1.29,14.7
GER-Bundesliga,1819,Stuttgart,Ron-Robert Zieler,GER,GK,29,1989,34.0,70,2,2,7,4,56.4,0.31,-9.6,-0.28,259,714,36.3,911,129,55.4,40.3,305,68.5,52.7,518,22,4.2,41,1.21,14.7
GER-Bundesliga,1819,Werder Bremen,Jiří Pavlenka,CZE,GK,26,1992,33.1,47,3,2,5,0,47.1,0.3,0.1,0.0,211,495,42.6,925,160,36.4,34.8,304,52.0,43.1,494,13,2.6,25,0.76,13.4
GER-Bundesliga,1819,Werder Bremen,Luca Plogmann,GER,GK,18,2000,0.4,1,1,0,0,0,1.0,0.0,0.0,-0.05,2,2,100.0,3,2,0.0,14.3,3,66.7,45.7,8,0,0.0,0,0.0,
GER-Bundesliga,1819,Werder Bremen,Stefanos Kapino,GRE,GK,24,1994,0.5,1,0,0,0,0,0.5,0.18,-0.5,-0.98,0,4,0.0,13,7,23.1,28.5,3,33.3,39.7,8,0,0.0,0,0.0,12.0
GER-Bundesliga,1819,Wolfsburg,Koen Casteels,BEL,GK,26,1992,25.5,39,4,3,1,0,40.0,0.31,1.0,0.04,194,420,46.2,981,148,31.9,33.8,200,53.5,45.8,398,21,5.3,26,1.02,14.4
GER-Bundesliga,1819,Wolfsburg,Pavao Pervan,AUT,GK,30,1987,8.5,11,0,0,0,0,11.9,0.3,0.9,0.1,67,140,47.9,270,38,34.4,34.0,75,62.7,48.9,132,3,2.3,2,0.24,10.9
GER-Bundesliga,1920,Augsburg,Andreas Luthe,GER,GK,32,1987,10.0,12,0,0,0,1,14.1,0.43,3.1,0.31,52,165,31.5,324,51,37.0,35.1,91,49.5,40.8,184,10,5.4,11,1.1,13.9
GER-Bundesliga,1920,Augsburg,Tomáš Koubek,CZE,GK,26,1992,24.0,51,0,0,3,2,42.7,0.35,-6.3,-0.26,145,457,31.7,623,102,49.3,40.3,212,70.8,53.4,366,13,3.6,34,1.42,15.7
GER-Bundesliga,1920,Bayern Munich,Manuel Neuer,GER,GK,33,1986,33.0,31,3,0,6,1,34.6,0.28,4.6,0.14,139,276,50.4,1267,203,19.6,26.4,180,15.6,27.8,303,10,3.3,123,3.73,23.7
GER-Bundesliga,1920,Bayern Munich,Sven Ulreich,GER,GK,30,1988,1.0,1,0,0,0,0,1.1,0.42,0.1,0.12,2,7,28.6,42,5,14.3,24.0,10,10.0,20.4,11,0,0.0,1,1.0,14.3
GER-Bundesliga,1920,Dortmund,Marwin Hitz,SUI,GK,31,1987,3.2,1,0,0,0,0,3.4,0.49,2.4,0.75,8,22,36.4,75,14,17.3,28.2,25,36.0,38.3,35,1,2.9,4,1.24,15.4
GER-Bundesliga,1920,Dortmund,Roman Bürki,SUI,GK,28,1990,30.8,40,3,0,7,3,34.5,0.35,-2.5,-0.08,84,272,30.9,847,182,24.9,30.0,201,30.3,33.1,309,11,3.6,45,1.46,18.2
GER-Bundesliga,1920,Düsseldorf,Florian Kastenmeier,GER,GK,22,1997,17.0,31,2,0,3,3,25.2,0.3,-2.8,-0.17,115,287,40.1,509,57,44.4,38.0,112,54.5,45.1,207,6,2.9,20,1.18,15.8
GER-Bundesliga,1920,Düsseldorf,Zack Steffen,USA,GK,24,1995,17.0,36,1,1,4,1,32.5,0.32,-2.5,-0.15,129,296,43.6,472,102,42.6,36.9,144,66.0,51.2,264,14,5.3,16,0.94,12.9
GER-Bundesliga,1920,Eint Frankfurt,Felix Wiedwald,GER,GK,29,1990,3.0,8,0,0,2,0,5.5,0.27,-2.5,-0.85,22,40,55.0,77,15,35.1,33.2,24,54.2,40.5,41,1,2.4,5,1.67,13.5
GER-Bundesliga,1920,Eint Frankfurt,Frederik Rønnow,DEN,GK,26,1992,9.0,14,2,0,0,0,14.3,0.26,0.3,0.04,78,172,45.3,280,37,48.9,37.9,62,56.5,45.0,116,4,3.4,11,1.22,17.4
GER-Bundesliga,1920,Eint Frankfurt,Kevin Trapp,GER,GK,29,1990,22.0,38,1,1,3,2,32.1,0.3,-3.9,-0.18,153,359,42.6,792,89,36.7,33.2,145,46.9,39.7,261,15,5.7,32,1.45,16.1
GER-Bundesliga,1920,Freiburg,Alexander Schwolow,GER,GK,27,1992,23.2,32,3,0,5,0,31.9,0.25,-0.1,0.0,153,429,35.7,726,120,34.4,34.3,249,71.9,55.1,381,13,3.4,14,0.6,12.9
GER-Bundesliga,1920,Freiburg,Mark Flekken,NED,GK,26,1993,10.0,14,0,0,1,0,19.7,0.28,5.7,0.57,64,180,35.6,324,38,37.0,35.9,108,55.6,47.8,160,5,3.1,8,0.8,12.6
GER-Bundesliga,1920,Freiburg,Niclas Thiede,GER,GK,20,1999,0.8,1,0,0,0,0,1.5,0.39,0.5,0.72,1,9,11.1,34,11,26.5,29.2,7,0.0,21.1,13,0,0.0,1,1.32,18.0
GER-Bundesliga,1920,Gladbach,Yann Sommer,SUI,GK,30,1988,34.0,40,1,1,3,0,47.5,0.29,7.5,0.22,180,418,43.1,1263,169,25.7,29.8,282,33.3,34.6,501,13,2.6,49,1.44,16.9
GER-Bundesliga,1920,Hertha BSC,Dennis Smarsch,GER,GK,20,1999,1.7,4,0,0,1,0,2.3,0.21,-1.7,-0.99,10,26,38.5,53,8,30.2,32.7,16,62.5,45.1,15,1,6.7,3,1.79,12.9
GER-Bundesliga,1920,Hertha BSC,Rune Jarstein,NOR,GK,34,1984,28.3,46,7,3,5,2,42.2,0.25,-1.8,-0.06,262,563,46.5,786,117,50.8,39.2,224,73.2,50.6,458,33,7.2,20,0.71,12.0
GER-Bundesliga,1920,Hertha BSC,Thomas Kraft,GER,GK,31,1988,4.0,9,0,0,2,0,6.0,0.31,-3.0,-0.76,34,82,41.5,95,14,58.9,39.5,33,78.8,54.9,75,2,2.7,6,1.5,22.8
GER-Bundesliga,1920,Hoffenheim,Oliver Baumann,GER,GK,29,1990,30.0,49,5,0,4,2,48.5,0.29,1.5,0.05,137,391,35.0,1019,174,28.8,29.9,262,37.4,34.5,485,18,3.7,27,0.9,13.9
GER-Bundesliga,1920,Hoffenheim,Philipp Pentke,GER,GK,34,1985,4.0,4,1,0,0,0,6.2,0.25,2.2,0.55,13,46,28.3,133,26,27.1,30.5,30,33.3,37.9,80,4,5.0,11,2.75,17.0
GER-Bundesliga,1920,Köln,Timo Horn,GER,GK,26,1993,34.0,69,4,1,11,2,54.8,0.32,-12.2,-0.36,270,552,48.9,901,103,46.5,37.9,297,44.8,38.4,479,20,4.2,23,0.68,11.8
GER-Bundesliga,1920,Leverkusen,Lukáš Hrádecký,FIN,GK,29,1989,34.0,44,2,1,4,0,48.1,0.33,4.1,0.12,180,498,36.1,1365,204,30.4,32.3,232,35.8,35.9,365,14,3.8,55,1.62,16.7
GER-Bundesliga,1920,Mainz 05,Florian Müller,GER,GK,21,1997,12.5,25,2,3,1,0,22.2,0.31,-2.8,-0.22,65,188,34.6,360,79,31.4,32.1,118,63.6,46.6,208,13,6.3,18,1.44,15.8
GER-Bundesliga,1920,Mainz 05,Robin Zentner,GER,GK,24,1994,21.5,40,1,0,6,1,36.6,0.31,-2.4,-0.11,129,389,33.2,594,146,44.8,36.8,197,62.4,49.2,347,20,5.8,17,0.79,13.6
GER-Bundesliga,1920,Paderborn 07,Jannik Huth,GER,GK,25,1994,6.0,17,1,0,1,0,12.1,0.34,-4.9,-0.81,28,72,38.9,203,37,30.0,31.5,48,22.9,29.7,70,1,1.4,5,0.83,15.2
GER-Bundesliga,1920,Paderborn 07,Leopold Zingerle,GER,GK,25,1994,28.0,57,3,3,6,2,48.5,0.3,-6.5,-0.23,132,287,46.0,978,188,22.9,29.0,233,27.0,29.9,454,9,2.0,22,0.79,13.3
GER-Bundesliga,1920,RB Leipzig,Péter Gulácsi,HUN,GK,29,1990,32.0,34,2,0,7,0,36.5,0.3,2.5,0.08,117,333,35.1,1032,186,25.1,29.9,227,32.6,33.7,400,18,4.5,68,2.13,18.5
GER-Bundesliga,1920,RB Leipzig,Yvon Mvogo,SUI,GK,25,1994,2.0,3,0,0,0,0,1.5,0.3,-1.5,-0.76,4,13,30.8,70,9,14.3,25.9,10,30.0,31.0,20,1,5.0,3,1.5,17.6
GER-Bundesliga,1920,Schalke 04,Alexander Nübel,GER,GK,22,1996,25.7,40,4,1,5,2,35.8,0.28,-2.2,-0.09,132,394,33.5,791,109,34.8,33.8,207,57.5,45.0,339,22,6.5,23,0.89,13.8
GER-Bundesliga,1920,Schalke 04,Markus Schubert,GER,GK,21,1998,8.2,18,2,1,4,0,18.5,0.31,0.5,0.06,44,155,28.4,252,29,46.0,37.6,60,65.0,46.4,149,6,4.0,8,0.97,12.7
GER-Bundesliga,1920,Union Berlin,Moritz Nicolas,GER,GK,21,1997,1.0,4,0,0,0,0,3.0,0.37,-1.0,-1.01,9,18,50.0,28,1,50.0,42.3,7,57.1,47.4,11,0,0.0,1,1.0,16.0
GER-Bundesliga,1920,Union Berlin,Rafał Gikiewicz,POL,GK,31,1987,33.0,54,3,0,7,1,48.9,0.29,-4.1,-0.12,374,823,45.4,1079,121,56.1,41.7,269,81.0,56.7,518,32,6.2,37,1.12,13.4
GER-Bundesliga,1920,Werder Bremen,Jiří Pavlenka,CZE,GK,27,1992,33.0,67,1,1,11,3,49.5,0.29,-14.5,-0.44,198,490,40.4,894,152,37.6,35.0,298,51.7,41.7,593,12,2.0,30,0.91,14.0
GER-Bundesliga,1920,Werder Bremen,Stefanos Kapino,GRE,GK,25,1994,1.0,2,0,0,0,0,0.9,0.19,-1.1,-1.06,7,16,43.8,26,8,38.5,33.8,9,66.7,43.0,21,0,0.0,1,1.0,12.0
GER-Bundesliga,1920,Wolfsburg,Koen Casteels,BEL,GK,27,1992,26.0,38,4,1,4,0,34.3,0.29,-3.7,-0.14,187,420,44.5,792,122,39.9,35.5,178,58.4,45.3,356,18,5.1,34,1.31,16.6
GER-Bundesliga,1920,Wolfsburg,Pavao Pervan,AUT,GK,31,1987,8.0,8,1,0,0,0,11.4,0.28,3.4,0.42,48,120,40.0,202,37,44.1,36.4,62,50.0,44.0,104,3,2.9,12,1.5,16.3
GER-Bundesliga,2021,Arminia,Stefan Ortega,GER,GK,27,1992,34.0,52,5,0,5,1,54.1,0.29,3.1,0.09,436,938,46.5,1698,121,45.9,38.6,250,63.2,49.1,525,17,3.2,44,1.29,16.8
GER-Bundesliga,2021,Augsburg,Rafał Gikiewicz,POL,GK,32,1987,34.0,54,6,0,2,3,53.2,0.26,2.2,0.07,193,565,34.2,1087,214,36.6,34.1,297,56.2,44.7,619,33,5.3,36,1.06,16.0
GER-Bundesliga,2021,Bayern Munich,Alexander Nübel,GER,GK,23,1996,1.0,2,0,0,1,0,1.1,0.28,-0.9,-0.88,1,3,33.3,28,2,10.7,23.4,8,0.0,20.4,12,1,8.3,0,0.0,7.7
GER-Bundesliga,2021,Bayern Munich,Manuel Neuer,GER,GK,34,1986,33.0,42,1,0,5,0,44.2,0.35,2.2,0.07,123,256,48.0,1131,188,20.5,28.8,186,12.9,27.2,349,5,1.4,105,3.18,23.6
GER-Bundesliga,2021,Dortmund,Marwin Hitz,SUI,GK,32,1987,15.5,16,2,0,1,1,15.1,0.3,0.1,0.0,75,155,48.4,426,71,23.9,29.1,123,43.1,39.5,176,8,4.5,8,0.52,12.1
GER-Bundesliga,2021,Dortmund,Roman Bürki,SUI,GK,29,1990,18.5,30,4,0,6,0,28.4,0.27,-1.6,-0.09,62,166,37.3,519,108,24.7,29.5,110,34.5,34.9,187,4,2.1,13,0.7,16.3
GER-Bundesliga,2021,Eint Frankfurt,Elias Bördner,GER,GK,18,2002,1.0,1,0,0,0,0,0.8,0.13,-0.2,-0.21,4,17,23.5,33,9,45.5,35.3,10,20.0,25.4,14,1,7.1,2,2.0,10.3
GER-Bundesliga,2021,Eint Frankfurt,Kevin Trapp,GER,GK,30,1990,33.0,52,4,1,5,2,44.6,0.27,-5.4,-0.16,222,574,38.7,1088,163,41.2,34.4,265,47.5,41.6,459,14,3.1,51,1.55,15.7
GER-Bundesliga,2021,Freiburg,Florian Müller,GER,GK,22,1997,31.0,46,2,2,3,2,45.3,0.28,1.3,0.04,165,556,29.7,1060,151,33.8,34.0,271,73.1,55.4,409,7,1.7,36,1.16,17.4
GER-Bundesliga,2021,Freiburg,Mark Flekken,NED,GK,27,1993,3.0,6,2,0,0,0,7.3,0.34,1.3,0.42,29,59,49.2,96,10,38.5,37.1,27,81.5,61.9,55,0,0.0,2,0.67,11.9
GER-Bundesliga,2021,Gladbach,Tobias Sippel,GER,GK,32,1988,3.8,6,0,0,1,0,4.8,0.26,-1.2,-0.32,25,75,33.3,98,10,41.8,37.4,46,73.9,55.0,71,1,1.4,5,1.31,15.8
GER-Bundesliga,2021,Gladbach,Yann Sommer,SUI,GK,31,1988,30.1,50,6,0,5,0,40.2,0.26,-9.8,-0.33,120,298,40.3,1026,123,23.7,28.7,212,25.9,28.6,397,7,1.8,30,1.0,16.5
GER-Bundesliga,2021,Hertha BSC,Alexander Schwolow,GER,GK,28,1992,26.0,39,6,1,2,0,38.9,0.31,-0.1,0.0,126,288,43.8,696,128,25.3,31.2,220,50.9,42.9,373,10,2.7,19,0.73,14.5
GER-Bundesliga,2021,Hertha BSC,Rune Jarstein,NOR,GK,35,1984,8.0,13,1,0,2,1,8.0,0.18,-4.0,-0.5,55,141,39.0,209,27,46.4,38.7,73,60.3,45.8,124,2,1.6,3,0.38,12.0
GER-Bundesliga,2021,Hoffenheim,Oliver Baumann,GER,GK,30,1990,31.0,51,6,0,4,2,49.4,0.32,0.4,0.01,134,407,32.9,1143,176,29.2,29.9,204,35.8,32.0,417,14,3.4,53,1.71,18.3
GER-Bundesliga,2021,Hoffenheim,Philipp Pentke,GER,GK,35,1985,3.0,3,0,1,0,0,4.1,0.36,1.1,0.36,9,20,45.0,89,19,21.3,26.5,20,5.0,22.8,26,0,0.0,3,1.0,22.0
GER-Bundesliga,2021,Köln,Ron-Robert Zieler,GER,GK,31,1989,0.6,1,1,0,0,0,1.2,0.07,0.2,0.31,6,11,54.5,17,4,35.3,33.5,6,83.3,49.7,15,1,6.7,0,0.0,13.0
GER-Bundesliga,2021,Köln,Timo Horn,GER,GK,27,1993,33.4,59,7,1,5,0,53.7,0.3,-5.3,-0.16,234,530,44.2,1110,120,39.4,35.5,221,42.1,37.1,469,14,3.0,30,0.9,15.2
GER-Bundesliga,2021,Leverkusen,Lennart Grill,GER,GK,21,1999,4.0,7,0,0,0,0,7.9,0.38,0.9,0.24,8,23,34.8,136,26,15.4,24.6,25,8.0,22.6,39,1,2.6,7,1.75,17.4
GER-Bundesliga,2021,Leverkusen,Lukáš Hrádecký,FIN,GK,30,1989,28.5,29,1,1,0,2,26.6,0.31,-0.4,-0.01,149,419,35.6,1208,179,29.7,31.5,180,33.3,32.8,322,20,6.2,58,2.04,18.2
GER-Bundesliga,2021,Leverkusen,Niklas Lomb,GER,GK,27,1993,1.5,3,0,0,0,0,3.3,0.42,0.3,0.23,5,12,41.7,53,14,17.0,28.0,7,42.9,38.7,17,0,0.0,2,1.33,18.0
GER-Bundesliga,2021,Mainz 05,Finn Dahmen,GER,GK,22,1998,3.0,10,1,0,1,0,8.6,0.38,-1.4,-0.47,4,19,21.1,59,16,27.1,29.6,27,11.1,23.7,49,3,6.1,4,1.33,11.9
GER-Bundesliga,2021,Mainz 05,Robin Zentner,GER,GK,25,1994,31.0,46,5,1,3,1,40.9,0.26,-4.1,-0.13,132,453,29.1,824,199,38.0,35.4,250,56.0,46.0,470,32,6.8,37,1.19,14.5
GER-Bundesliga,2021,RB Leipzig,Josep Martinez,ESP,GK,22,1998,1.0,2,0,0,1,0,0.9,0.23,-1.1,-1.08,3,13,23.1,44,4,29.5,29.4,6,0.0,15.0,13,0,0.0,2,2.0,20.2
GER-Bundesliga,2021,RB Leipzig,Péter Gulácsi,HUN,GK,30,1990,33.0,30,3,0,1,0,26.8,0.3,-3.2,-0.1,96,222,43.2,1003,172,19.1,27.7,168,17.9,25.7,315,15,4.8,65,1.97,19.7
GER-Bundesliga,2021,Schalke 04,Frederik Rønnow,DEN,GK,27,1992,10.5,24,4,0,5,2,21.6,0.27,-0.4,-0.04,44,117,37.6,280,67,26.1,29.9,95,46.3,38.7,132,8,6.1,13,1.24,14.2
GER-Bundesliga,2021,Schalke 04,Michael Langer,AUT,GK,35,1985,2.7,12,0,0,4,1,6.7,0.29,-4.3,-1.64,11,33,33.3,51,8,37.3,35.8,26,53.8,38.9,42,0,0.0,5,1.88,15.8
GER-Bundesliga,2021,Schalke 04,Ralf Fährmann,GER,GK,31,1988,20.8,50,3,1,8,2,41.5,0.28,-6.5,-0.31,91,350,26.0,638,119,35.9,33.5,183,66.1,46.5,374,12,3.2,20,0.96,12.6
GER-Bundesliga,2021,Stuttgart,Fabian Bredlow,GER,GK,25,1995,1.0,1,0,0,0,0,2.8,0.31,1.8,1.77,2,10,20.0,30,6,30.0,29.4,9,11.1,25.0,31,1,3.2,0,0.0,8.8
GER-Bundesliga,2021,Stuttgart,Gregor Kobel,SUI,GK,22,1997,33.0,54,5,1,3,1,52.5,0.29,-0.5,-0.02,126,315,40.0,940,207,27.6,28.2,280,20.0,25.2,459,17,3.7,42,1.27,15.9
GER-Bundesliga,2021,Union Berlin,Andreas Luthe,GER,GK,33,1987,30.8,42,4,0,5,1,39.8,0.27,-1.2,-0.04,180,475,37.9,927,108,37.1,34.2,215,60.9,42.8,376,18,4.8,20,0.65,13.1
GER-Bundesliga,2021,Union Berlin,Loris Karius,GER,GK,27,1993,3.2,1,0,0,0,1,0.9,0.23,0.9,0.28,17,53,32.1,73,9,52.1,40.4,21,71.4,53.7,47,2,4.3,1,0.31,8.6
GER-Bundesliga,2021,Werder Bremen,Jiří Pavlenka,CZE,GK,28,1992,34.0,57,4,0,7,3,48.7,0.28,-5.3,-0.16,211,461,45.8,865,168,37.8,33.9,279,48.0,40.9,567,17,3.0,30,0.88,14.4
GER-Bundesliga,2021,Wolfsburg,Koen Casteels,BEL,GK,28,1992,32.0,33,3,1,2,1,32.7,0.26,0.7,0.02,191,462,41.3,1048,166,31.9,32.6,203,63.1,48.4,450,25,5.6,57,1.78,17.3
GER-Bundesliga,2021,Wolfsburg,Pavao Pervan,AUT,GK,32,1987,2.0,4,0,0,2,0,3.4,0.25,-0.6,-0.29,11,28,39.3,53,5,34.0,32.6,17,58.8,47.5,35,0,0.0,0,0.0,10.7
GER-Bundesliga,2122,Arminia,Stefan Ortega,GER,GK,28,1992,33.0,53,7,1,6,2,55.8,0.28,4.8,0.15,412,902,45.7,1448,91,49.6,39.2,317,58.0,46.9,528,11,2.1,46,1.39,18.6
GER-Bundesliga,2122,Arminia,Stefanos Kapino,GRE,GK,27,1994,1.0,0,0,0,0,0,1.0,0.26,1.0,1.02,7,16,43.8,21,3,38.1,37.3,10,80.0,48.9,31,1,3.2,2,2.0,18.4
GER-Bundesliga,2122,Augsburg,Rafał Gikiewicz,POL,GK,33,1987,34.0,56,5,1,2,2,52.3,0.31,-1.7,-0.05,233,579,40.2,951,145,41.9,36.5,287,63.1,47.7,532,24,4.5,51,1.5,16.7
GER-Bundesliga,2122,Bayern Munich,Christian Früchtl,GER,GK,21,2000,0.1,0,0,0,0,0,0.0,,0.0,0.0,1,1,100.0,4,0,25.0,18.0,0,,,0,0,,0,0.0,19.0
GER-Bundesliga,2122,Bayern Munich,Manuel Neuer,GER,GK,35,1986,27.9,26,1,0,1,0,23.9,0.26,-2.1,-0.07,110,223,49.3,1085,163,19.0,27.6,166,10.2,25.3,262,9,3.4,95,3.41,26.2
GER-Bundesliga,2122,Bayern Munich,Sven Ulreich,GER,GK,32,1988,6.0,11,1,1,1,1,8.7,0.34,-1.3,-0.22,10,32,31.3,197,31,14.2,25.2,38,10.5,20.2,54,3,5.6,10,1.67,19.2
GER-Bundesliga,2122,Bochum,Manuel Riemann,GER,GK,32,1988,31.0,45,3,1,3,4,41.4,0.27,2.4,0.08,464,1004,46.2,1353,99,62.0,43.6,243,67.9,48.5,411,27,6.6,71,2.37,19.5
GER-Bundesliga,2122,Bochum,Michael Esser,GER,GK,33,1987,3.0,7,2,0,1,0,8.5,0.32,1.5,0.51,20,65,30.8,104,10,41.3,36.1,30,73.3,48.3,52,1,1.9,1,0.33,10.7
GER-Bundesliga,2122,Dortmund,Gregor Kobel,SUI,GK,23,1997,28.5,39,3,2,5,2,37.3,0.32,0.3,0.01,77,240,32.1,836,142,20.5,27.5,185,37.3,35.4,343,17,5.0,49,1.72,16.1
GER-Bundesliga,2122,Dortmund,Marwin Hitz,SUI,GK,33,1987,4.5,12,2,0,1,0,8.6,0.27,-3.4,-0.76,16,32,50.0,147,31,18.4,27.7,30,16.7,28.2,54,3,5.6,9,2.0,20.6
GER-Bundesliga,2122,Dortmund,Roman Bürki,SUI,GK,30,1990,1.0,1,1,0,0,0,1.0,0.0,0.0,-0.01,0,7,0.0,20,3,30.0,28.1,3,33.3,34.3,5,0,0.0,5,5.0,27.3
GER-Bundesliga,2122,Eint Frankfurt,Diant Ramaj,GER,GK,19,2001,1.0,1,0,0,0,0,1.0,0.25,0.0,-0.01,4,14,28.6,37,6,32.4,31.6,4,50.0,40.0,24,3,12.5,3,3.0,14.8
GER-Bundesliga,2122,Eint Frankfurt,Jens Grahl,GER,GK,32,1988,1.0,2,0,0,0,0,0.7,0.16,-1.3,-1.35,1,4,25.0,18,5,0.0,21.9,11,36.4,36.8,10,1,10.0,0,0.0,10.8
GER-Bundesliga,2122,Eint Frankfurt,Kevin Trapp,GER,GK,31,1990,32.0,46,4,0,3,1,50.8,0.3,5.8,0.18,157,539,29.1,1001,146,41.8,34.6,250,48.4,42.6,426,19,4.5,43,1.34,16.4
GER-Bundesliga,2122,Freiburg,Benjamin Uphoff,GER,GK,27,1993,2.0,7,0,0,2,0,3.0,0.25,-4.0,-2.01,22,51,43.1,70,14,44.3,34.4,20,100.0,63.2,34,4,11.8,1,0.5,6.3
GER-Bundesliga,2122,Freiburg,Mark Flekken,NED,GK,28,1993,32.0,39,2,1,3,1,39.7,0.27,1.7,0.05,245,633,38.7,1084,112,41.5,37.8,244,75.0,59.1,462,14,3.0,35,1.09,15.8
GER-Bundesliga,2122,Gladbach,Tobias Sippel,GER,GK,33,1988,1.0,1,0,0,0,0,0.4,0.12,-0.6,-0.64,6,13,46.2,41,4,24.4,29.5,6,50.0,51.8,18,0,0.0,0,0.0,8.0
GER-Bundesliga,2122,Gladbach,Yann Sommer,SUI,GK,32,1988,33.0,60,3,1,5,0,57.0,0.3,-3.0,-0.09,147,439,33.5,1213,162,28.9,31.3,221,39.8,37.2,428,19,4.4,53,1.66,16.2
GER-Bundesliga,2122,Greuther Fürth,Andreas Linde,SWE,GK,28,1993,12.0,24,1,0,5,1,19.7,0.31,-3.3,-0.27,63,211,29.9,408,69,39.0,35.1,87,59.8,44.8,227,13,5.7,10,0.83,13.8
GER-Bundesliga,2122,Greuther Fürth,Marius Funk,GER,GK,25,1996,8.0,30,2,0,3,2,24.2,0.41,-3.8,-0.47,65,182,35.7,288,26,45.8,37.5,70,71.4,52.2,95,7,7.4,19,2.38,18.6
GER-Bundesliga,2122,Greuther Fürth,Sascha Burchert,GER,GK,31,1989,14.0,28,3,1,4,2,23.0,0.28,-3.0,-0.22,120,326,36.8,441,49,52.2,41.1,115,83.5,55.9,224,8,3.6,24,1.71,17.2
GER-Bundesliga,2122,Hertha BSC,Alexander Schwolow,GER,GK,29,1992,24.2,51,5,1,6,0,42.2,0.31,-8.8,-0.36,126,333,37.8,621,125,32.9,33.0,204,63.2,48.2,404,17,4.2,32,1.32,15.0
GER-Bundesliga,2122,Hertha BSC,Marcel Lotka,POL,GK,20,2001,9.8,20,3,0,4,0,13.8,0.23,-6.2,-0.63,63,188,33.5,262,47,52.3,39.7,73,69.9,52.5,144,13,9.0,10,1.02,12.1
GER-Bundesliga,2122,Hoffenheim,Oliver Baumann,GER,GK,31,1990,33.0,57,2,0,9,1,51.5,0.33,-4.5,-0.14,138,393,35.1,1302,185,26.1,29.0,216,24.5,28.8,420,27,6.4,65,1.97,16.7
GER-Bundesliga,2122,Hoffenheim,Philipp Pentke,GER,GK,36,1985,1.0,3,0,0,0,0,1.7,0.24,-1.3,-1.34,5,13,38.5,32,5,34.4,28.5,7,28.6,30.1,10,1,10.0,0,0.0,11.3
GER-Bundesliga,2122,Köln,Marvin Schwäbe,GER,GK,26,1995,21.0,28,0,2,3,1,31.4,0.31,4.4,0.21,107,251,42.6,854,88,23.5,28.8,144,34.7,35.2,283,9,3.2,15,0.71,13.6
